Team Number, 649
Match Number, 3
Scouter Name, Krugersdorp
Defenses on Field, LB, PC, M, SP, RW
Spy Zone, False
Auto Reaches Defense, False
Auto Crosses Defense, DB
Auto High Goal Shots, 1 
Auto Low Goal Shots, 
Difficulty to Cross LB, 0 
Difficulty to Cross PC, 2 
Difficulty to Cross M, 1 0 
Difficulty to Cross SP, 2 
Difficulty to Cross RW, 0 
Teleop High Goal Shots, 
Teleop Low Goal Shots, 1 1 0 1 0 1 
Shots Blocked, 1 
Total Points, 100
Play Defense, False
End Game, CHA, B
Result, Tie
Notes, fighting
